E947496	link	E470547	1.00
E470547	link	E947496	1.00
E714121	link	E069593	1.00
E069593	link	E714121	1.00
E766319	link	E124282	1.00
E124282	link	E766319	1.00
E320111	link	E730743	1.00
E730743	link	E320111	1.00
E002835	link	E830106	1.00
E830106	link	E002835	1.00
E662086	link	E405349	1.00
E405349	link	E662086	1.00
E500047	link	E737863	1.00
E737863	link	E500047	1.00
E948622	link	E054496	1.00
E054496	link	E948622	1.00
E343403	link	E747446	1.00
E747446	link	E343403	1.00
E635274	link	E271539	1.00
E271539	link	E635274	1.00
E057750	link	E804373	1.00
E804373	link	E057750	1.00
E023197	link	E805244	1.00
E805244	link	E023197	1.00
E013460	link	E896309	1.00
E896309	link	E013460	1.00
E367319	link	E204036	1.00
E204036	link	E367319	1.00
E997889	link	E266502	1.00
E266502	link	E997889	1.00
E740916	link	E082374	1.00
E082374	link	E740916	1.00
E492870	link	E765802	1.00
E765802	link	E492870	1.00
E515885	link	E212365	1.00
E212365	link	E515885	1.00
E151915	link	E606199	1.00
E606199	link	E151915	1.00
E030204	link	E386860	1.00
E386860	link	E030204	1.00
E878149	link	E041221	1.00
E041221	link	E878149	1.00
E271274	link	E080065	1.00
E080065	link	E271274	1.00
E438185	link	E788198	1.00
E788198	link	E438185	1.00
E843536	link	E420849	1.00
E420849	link	E843536	1.00
E304699	link	E922459	1.00
E922459	link	E304699	1.00
E204904	link	E167807	1.00
E167807	link	E204904	1.00
E373437	link	E297699	1.00
E297699	link	E373437	1.00
E946696	link	E739056	1.00
E739056	link	E946696	1.00
E305055	link	E628714	1.00
E628714	link	E305055	1.00
E150676	link	E174329	1.00
E174329	link	E150676	1.00
E183107	link	E811500	1.00
E811500	link	E183107	1.00
E273908	link	E130792	1.00
E130792	link	E273908	1.00
E496833	link	E915607	1.00
E915607	link	E496833	1.00
E565961	link	E198827	1.00
E198827	link	E565961	1.00
E446054	link	E293173	1.00
E293173	link	E446054	1.00
E119344	link	E761190	1.00
E761190	link	E119344	1.00
E828490	link	E638279	1.00
E638279	link	E828490	1.00
E020607	link	E161475	1.00
E161475	link	E020607	1.00
E401115	link	E841116	1.00
E841116	link	E401115	1.00
E549729	link	E440703	1.00
E440703	link	E549729	1.00
E210587	link	E472380	1.00
E472380	link	E210587	1.00
E971669	link	E768412	1.00
E768412	link	E971669	1.00
E623858	link	E536655	1.00
E536655	link	E623858	1.00
E045049	link	E803890	1.00
E803890	link	E045049	1.00
E236010	link	E184016	1.00
E184016	link	E236010	1.00
E684524	link	E454257	1.00
E454257	link	E684524	1.00
E400709	link	E892181	1.00
E892181	link	E400709	1.00
E998052	link	E783580	1.00
E783580	link	E998052	1.00
E101902	link	E212261	1.00
E212261	link	E101902	1.00
E735771	link	E418992	1.00
E418992	link	E735771	1.00
E227004	link	E386982	1.00
E386982	link	E227004	1.00
E966210	link	E280319	1.00
E280319	link	E966210	1.00
E573965	link	E925323	1.00
E925323	link	E573965	1.00
E774355	link	E201403	1.00
E201403	link	E774355	1.00
E058068	link	E227635	1.00
E227635	link	E058068	1.00
E014983	link	E798216	1.00
E798216	link	E014983	1.00
E545805	link	E637731	1.00
E637731	link	E545805	1.00
E937472	link	E620284	1.00
E620284	link	E937472	1.00
E929517	link	E357499	1.00
E357499	link	E929517	1.00
E290921	link	E738819	1.00
E738819	link	E290921	1.00
E164241	link	E356234	1.00
E356234	link	E164241	1.00
E812526	link	E561905	1.00
E561905	link	E812526	1.00
E652419	link	E359889	1.00
E359889	link	E652419	1.00
E778633	link	E156523	1.00
E156523	link	E778633	1.00
E343899	link	E460242	1.00
E460242	link	E343899	1.00
E301747	link	E100484	1.00
E100484	link	E301747	1.00
E573357	link	E106669	1.00
E106669	link	E573357	1.00
E319369	link	E125925	1.00
E125925	link	E319369	1.00
E988805	link	E930753	1.00
E930753	link	E988805	1.00
E024840	link	E258565	1.00
